order_id,order_date,region,channel,units,unit_price,discount,revenue
10001,2025-01-01,South,Partner,29.0,19.65,0.145,487.22
10002,2025-01-01,West,Retail,4.0,13.21,0.042,50.62
10003,2025-01-02,East,Online,6.0,20.87,0.021,122.59
10004,2025-01-02,North,Online,28.0,25.32,0.035,684.15
10005,2025-01-03,North,Online,2.0,19.64,0.067,36.65
10006,2025-01-03,West,Online,12.0,19.33,0.053,219.67
10007,2025-01-04,North,Online,33.0,21.85,0.036,695.09
10008,2025-01-04,East,Online,36.0,21.39,0.022,753.1
10009,2025-01-05,East,Partner,20.0,23.13,0.136,399.69
10010,2025-01-05,South,Online,35.0,17.71,0.053,587.0
10011,2025-01-06,North,Partner,35.0,20.78,0.16,610.93
10012,2025-01-06,North,Retail,37.0,23.88,0.07,821.71
10013,2025-01-07,North,Partner,10.0,23.63,0.125,206.76
10014,2025-01-07,South,Online,10.0,17.56,0.078,161.9
10015,2025-01-08,South,Online,26.0,16.73,0.053,411.93
10016,2025-01-08,South,Retail,1.0,19.71,0.072,18.29
10017,2025-01-09,West,Online,11.0,17.75,0.044,186.66
10018,2025-01-09,East,Online,16.0,26.57,0.057,400.89
10019,2025-01-10,South,Retail,35.0,25.64,0.067,837.27
10020,2025-01-10,West,Retail,38.0,20.11,0.007,758.83
10021,2025-01-11,North,Online,14.0,21.91,0.038,295.08
10022,2025-01-11,North,Online,30.0,21.57,0.048,616.04
10023,2025-01-12,South,Partner,22.0,16.86,0.117,327.52
10024,2025-01-12,North,Online,3.0,19.73,0.063,55.46
10025,2025-01-13,North,Retail,16.0,19.49,0.057,294.07
10026,2025-01-13,South,Online,28.0,18.01,0.075,466.46
10027,2025-01-14,South,Retail,28.0,17.93,0.03,486.98
10028,2025-01-14,West,Online,36.0,19.86,0.038,687.79
10029,2025-01-15,South,Retail,25.0,18.0,0.073,417.15
10030,2025-01-15,South,Online,38.0,18.51,0.033,680.17
10031,2025-01-16,South,Retail,18.0,15.95,0.067,267.86
10032,2025-01-16,North,Retail,28.0,26.11,0.034,706.22
10033,2025-01-17,North,Online,25.0,23.27,0.027,566.04
10034,2025-01-17,North,Online,34.0,26.47,0.022,880.18
10035,2025-01-18,East,Retail,37.0,25.99,0.017,945.28
10036,2025-01-18,North,Retail,33.0,25.72,0.035,819.05
10037,2025-01-19,South,Online,38.0,18.38,0.013,689.36
10038,2025-01-19,North,Retail,14.0,23.79,0.066,311.08
10039,2025-01-20,East,Online,39.0,30.76,0.078,1106.07
10040,2025-01-20,North,Partner,4.0,18.94,0.106,67.73
10041,2025-01-21,North,Online,15.0,24.94,0.004,372.6
10042,2025-01-21,West,Retail,29.0,22.24,0.0,644.96
10043,2025-01-22,South,Retail,,20.05,0.075,463.66
10044,2025-01-22,East,Retail,6.0,25.91,0.006,154.53
10045,2025-01-23,South,Online,27.0,22.2,0.054,567.03
10046,2025-01-23,East,Retail,15.0,22.32,0.024,326.76
10047,2025-01-24,North,Retail,32.0,23.04,0.016,725.48
10048,2025-01-24,South,Online,39.0,16.78,0.02,641.33
10049,2025-01-25,South,Online,,17.27,0.055,130.56
10050,2025-01-25,West,Partner,22.0,16.42,0.149,307.42
10051,2025-01-26,South,Retail,2.0,18.63,0.069,34.69
10052,2025-01-26,South,Online,21.0,19.37,0.045,388.47
10053,2025-01-27,North,Retail,33.0,23.16,0.019,749.76
10054,2025-01-27,South,Online,37.0,15.37,0.017,559.02
10055,2025-01-28,North,Online,,27.07,0.052,795.53
10056,2025-01-28,North,Partner,12.0,24.96,0.17,248.6
10057,2025-01-29,East,Online,,25.86,0.025,378.2
10058,2025-01-29,South,Online,,18.08,0.027,686.08
10059,2025-01-30,West,Online,31.0,17.77,0.037,530.49
10060,2025-01-30,South,Online,36.0,20.4,0.073,680.79
10061,2025-01-31,South,Online,10.0,20.05,0.043,191.88
10062,2025-01-31,South,Online,15.0,14.7,0.067,205.73
10063,2025-02-01,East,Online,33.0,25.9,0.051,811.11
10064,2025-02-01,North,Online,13.0,29.47,0.045,365.87
10065,2025-02-02,South,Online,30.0,14.27,0.039,411.4
10066,2025-02-02,North,Online,5.0,24.55,0.054,116.12
10067,2025-02-03,South,Retail,3.0,19.95,0.039,57.52
10068,2025-02-03,North,Partner,36.0,21.71,0.064,731.54
10069,2025-02-04,West,Online,12.0,21.52,0.015,254.37
10070,2025-02-04,North,Retail,8.0,18.97,0.026,147.81
10071,2025-02-05,East,Retail,10.0,24.42,0.07,227.11
10072,2025-02-05,North,Online,1.0,25.75,0.032,24.93
10073,2025-02-06,West,Online,30.0,17.49,0.067,489.55
10074,2025-02-06,East,Partner,35.0,22.93,0.191,649.26
10075,2025-02-07,North,Online,1.0,22.29,0.046,21.26
10076,2025-02-07,East,Retail,24.0,22.86,0.008,544.25
10077,2025-02-08,West,Online,15.0,21.97,0.061,309.45
10078,2025-02-08,West,Retail,27.0,15.67,0.053,400.67
10079,2025-02-09,South,Partner,28.0,21.24,0.179,488.27
10080,2025-02-09,North,Partner,29.0,18.78,0.156,459.66
10081,2025-02-10,north,Online,2.0,23.72,0.039,45.59
10082,2025-02-10,West,Retail,2.0,17.73,0.005,35.28
10083,2025-02-11,South,Online,37.0,12.36,0.005,455.03
10084,2025-02-11,North,Retail,4.0,21.98,0.018,86.34
10085,2025-02-12,West,Online,20.0,15.26,0.049,290.25
10086,2025-02-12,South,Online,20.0,17.86,0.065,333.98
10087,2025-02-13,South,Retail,15.0,22.95,0.008,341.5
10088,2025-02-13,South,Online,2.0,16.13,0.002,32.2
10089,2025-02-14,South,Online,7.0,16.28,0.05,108.26
10090,2025-02-14,North,Partner,20.0,25.7,0.091,467.23
10091,2025-02-15,North,Online,5.0,22.3,0.035,107.6
10092,2025-02-15,West,Online,29.0,21.96,0.066,594.81
10093,2025-02-16,South,Online,34.0,19.83,0.074,624.33
10094,2025-02-16,South,Online,26.0,16.73,0.077,401.49
10095,2025-02-17,North,Online,33.0,21.83,0.062,675.73
10096,2025-02-17,East,Retail,25.0,27.16,0.0,679.0
10097,2025-02-18,North,Partner,28.0,24.42,0.099,616.07
10098,2025-02-18,South,Retail,2.0,19.0,0.047,36.21
10099,2025-02-19,North,Retail,22.0,22.13,0.076,449.86
10100,2025-02-19,North,Online,10.0,21.71,0.007,215.58
10101,2025-02-20,West,Retail,8.0,16.51,0.041,126.66
10102,2025-02-20,East,Retail,36.0,28.96,0.032,1009.2
10103,2025-02-21,South,Retail,,19.02,0.033,606.95
10104,2025-02-21,South,Retail,5.0,16.09,0.021,78.76
10105,2025-02-22,West,Retail,39.0,16.77,0.022,639.64
10106,2025-02-22,North,Online,21.0,23.87,0.019,491.75
10107,2025-02-23,South,Retail,25.0,20.65,0.008,512.12
10108,2025-02-23,East,Online,,23.65,0.044,45.22
10109,2025-02-24,South,Online,35.0,17.28,0.036,583.03
10110,2025-02-24,South,Retail,37.0,19.06,0.057,665.02
10111,2025-02-25,East,Retail,30.0,19.7,0.051,560.86
10112,2025-02-25,north,Online,7.0,14.65,0.076,94.76
10113,2025-02-26,North,Retail,21.0,24.05,0.027,491.41
10114,2025-02-26,West,Retail,16.0,16.77,0.071,249.27
10115,2025-02-27,North,Online,16.0,22.96,0.031,355.97
10116,2025-02-27,East,Online,22.0,27.13,0.053,565.23
10117,2025-02-28,East,Online,28.0,25.67,0.064,672.76
10118,2025-02-28,North,Retail,29.0,22.05,0.032,618.99
10119,2025-03-01,South,Retail,10.0,24.47,0.036,235.89
10120,2025-03-01,East,Retail,37.0,25.72,0.051,903.11
10121,2025-03-02,North,Online,18.0,21.09,0.009,98000.0
10122,2025-03-02,South,Retail,29.0,20.88,0.043,87000.0
10123,2025-03-03,East,Partner,34.0,25.05,0.103,763.97
10124,2025-03-03,South,Online,14.0,16.8,0.018,230.97
10125,2025-03-04,East,Online,34.0,24.19,0.05,781.34
10126,2025-03-04,North,Online,3.0,21.58,0.078,59.69
10127,2025-03-05,North,Retail,12.0,16.95,0.08,187.13
10128,2025-03-05,South,Partner,28.0,18.56,0.193,419.38
10129,2025-03-06,North,Online,30.0,21.27,0.012,630.44
10130,2025-03-06,North,Online,,20.87,0.041,760.54
10131,2025-03-07,West,Online,17.0,13.77,0.035,225.9
10132,2025-03-07,South,Online,1.0,18.09,0.03,17.55
10133,2025-03-08,North,Partner,18.0,21.9,0.139,339.41
10134,2025-03-08,North,Online,31.0,22.26,0.057,650.73
10135,2025-03-09,West,Online,5.0,15.08,0.045,72.01
10136,2025-03-09,South,Online,7.0,20.63,0.05,137.19
10137,2025-03-10,West,Retail,17.0,14.88,0.047,241.07
10138,2025-03-10,South,Retail,18.0,18.42,0.054,313.66
10139,2025-03-11,South,Online,18.0,22.35,0.074,372.53
10140,2025-03-11,West,Online,21.0,16.22,0.076,314.73
